frame,type,x,yOffset
6500,shielded,350,0
6500,shielded,200,50
6500,shielded,300,50
6500,shielded,250,100
6500,shielded,200,150
6500,shielded,300,150
6500,shielded,150,200
6500,shielded,350,200
7000,shielded,100,0
7000,alien1,150,0
7000,shielded,200,0
7000,shielded,150,100
7000,alien1,150,200
7000,shielded,100,100
7000,alien1,200,100
7000,alien1,250,0
7000,alien1,300,0
7000,shielded,350,0
7000,alien1,400,0
7000,shielded,450,0
7000,bomb,163,0
7500,shielded,250,0
7500,alien1,200,50
7500,shielded,300,50
7500,shielded,175,100
7500,alien1,325,100
7500,shielded,200,150
7500,shielded,300,150
7500,shielded,250,200
8000,alien1,250,0
8000,shielded,250,50
8000,shielded,250,100
8000,alien1,250,150
8000,shielded,250,200
8500,alien1,50,0
8500,alien1,100,0
8500,shielded,150,0
8500,shielded,200,0
8500,shielded,250,0
8500,alien1,250,0
8500,alien1,450,0
8500,shielded,300,50
8500,alien1,400,50
8500,shielded,350,100
8500,alien1,300,150
8500,shielded,400,150
8500,alien1,250,200
8500,alien1,450,200
8500,bomb,400,0
9000,shielded,200,0
9000,alien1,250,0
9000,alien1,300,0
9000,alien1,250,100
9000,shielded,250,200
9000,alien1,200,100
9000,shielded,300,100
9500,alien1,200,0
9500,shielded,250,0
9500,alien1,300,0
9500,shielded,200,100
9500,alien1,250,100
9500,shielded,300,100
9500,bomb,121,0
10000,alien1,250,0
10000,shielded,225,25
10000,alien1,275,25
10000,shielded,250,75
10000,alien1,250,100
10000,shielded,250,150
10500,shielded,100,0
10500,alien1,150,0
10500,shielded,200,0
10500,shielded,150,100
10500,shielded,150,200
10500,alien1,100,100
10500,alien1,200,100
10500,shielded,350,0
10500,shielded,325,25
10500,alien1,375,25
10500,shielded,350,75
10500,shielded,350,100
10500,alien1,350,150
11000,shielded,150,0
11000,alien1,350,0
11000,alien1,200,50
11000,shielded,300,50
11000,shielded,250,100
11000,alien1,200,150
11000,shielded,300,150
11000,alien1,150,200
11000,shielded,350,200
11000,multi,206,0
11500,alien1,200,0
11500,shielded,250,0
11500,shielded,300,0
11500,shielded,250,100
11500,shielded,250,200
11500,alien1,200,100
11500,shielded,300,100
12000,shielded,150,0
12000,shielded,250,0
12000,shielded,350,0
12000,alien1,200,50
12000,alien1,300,50
12000,shielded,250,100
12000,shielded,250,150
12000,multi,353,0
12000,multi,344,0
12500,shielded,50,0
12500,shielded,150,0
12500,alien1,250,0
12500,alien1,100,50
12500,shielded,200,50
12500,alien1,150,100
12500,alien1,150,150
12500,alien1,350,0
12500,shielded,300,50
12500,alien1,400,50
12500,alien1,275,100
12500,alien1,425,100
12500,alien1,300,150
12500,alien1,400,150
12500,shielded,350,200
12500,bomb,232,0
12500,speed,391,0
13000,shielded,200,0
13000,alien1,250,0
13000,alien1,300,0
13000,shielded,200,100
13000,shielded,250,100
13000,alien1,300,100
13500,shielded,150,0
13500,shielded,200,0
13500,alien1,250,0
13500,shielded,300,0
13500,shielded,350,0
13500,bomb,354,0
14000,shielded,50,0
14000,alien1,150,0
14000,alien1,250,0
14000,shielded,100,50
14000,alien1,200,50
14000,alien1,150,100
14000,alien1,150,150
14000,alien1,250,0
14000,shielded,450,0
14000,shielded,300,50
14000,alien1,400,50
14000,shielded,350,100
14000,shielded,300,150
14000,alien1,400,150
14000,alien1,250,200
14000,shielded,450,200
14000,multi,419,0
14500,alien1,250,0
14500,shielded,225,25
14500,shielded,275,25
14500,alien1,250,75
14500,alien1,250,100
14500,alien1,250,150
15000,alien1,250,0
15000,alien1,200,50
15000,shielded,300,50
15000,shielded,175,100
15000,alien1,325,100
15000,alien1,200,150
15000,alien1,300,150
15000,alien1,250,200
15500,alien1,50,0
15500,shielded,250,0
15500,shielded,100,50
15500,alien1,200,50
15500,shielded,150,100
15500,alien1,100,150
15500,shielded,200,150
15500,alien1,50,200
15500,shielded,250,200
15500,shielded,350,0
15500,shielded,300,50
15500,shielded,400,50
15500,alien1,275,100
15500,shielded,425,100
15500,alien1,300,150
15500,shielded,400,150
15500,alien1,350,200
15500,multi,443,0
16000,alien1,200,0
16000,shielded,250,0
16000,alien1,300,0
16000,alien1,200,100
16000,alien1,250,100
16000,shielded,300,100
16000,speed,424,0
16000,multi,192,0
16500,shielded,250,0
16500,alien1,225,25
16500,alien1,275,25
16500,alien1,250,75
16500,alien1,250,100
16500,shielded,250,150
16500,bomb,302,0
16500,bomb,302,0
17000,alien1,150,0
17000,alien1,150,50
17000,alien1,150,100
17000,alien1,150,150
17000,alien1,150,200
17000,shielded,250,0
17000,alien1,300,0
17000,alien1,350,0
17000,alien1,400,0
17000,shielded,450,0
17000,bomb,310,0
17500,alien1,250,0
17500,alien1,250,50
17500,alien1,250,100
17500,alien1,250,150
17500,alien1,250,200
18500,multi,150,0
18500,speed,350,0
18500,largealien,250,0
